" ""Colorado Public Library Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lrs.org/public/data/csv/id/43830/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,City,County,Visits,ILLs Loaned,ILLs Borrowed,Total Number of Challenges,Total Collection Use,Total Circulation,Annual Operating Hours,Automatic Renewals,Overdue Fines for Children's Books,Overdue Fines for YA Books,Overdue Fines for Adult Books,"Average hours open per week, per outlet",Website Visits,Public Access Internet Computers,Total Print Expenditures,Total Collection Expenditures,Miscellaneous Operating Expenditures,Total Operating Expenditures,Capital Expenditures,Staff Salaries,Number of Bookmobiles,Staff Expenditures per Capita,Materials Expenditures per Capita,Other Expenditures per Capita,Total Expenditures per Capita,Local Revenue per Capita,Staff Expenditures as Percent of Total Operating Expenditures,Materials Expenditures as Percent of Total Operating Expenditures,LSA Population,Legal Basis,LSA Registered Borrowers,Number of Non-Resident Registered Borrowers,Total Registered Borrowers,"Staff per 1,000 Served",Print Volumes per Capita,Registration as Percent of Population,Library Visits per Capita,Circulation per Capita,Number of individuals directly engaged,Number of individuals exposed to the library,Circulation per Capita,"Program Attendance per 1,000 Served",Total Programs,Total Program Attendance,Local Capital Revenue,State Capital Revenue,Federal Capital Revenue,Other Capital Revenue,Total Capital Revenue,City General Fund,County General Fund,City Sales Tax,County Sales Tax,City Mill Levy,County Mill Levy,District Mill Levy,Total Local Operating Revenue,Total State Operating Revenue,Total Federal Operating Revenue,Other Operating Revenue,Total Operating Revenue,Non-Supervising Librarian Salary (high),Non-Supervising Librarian Salary (low),MLS Required - Librarian,Library Assistant (high),Library Assistant (low),Library Clerk Hourly (high),Library Clerk Hourly (low),ALA-MLS Librarians (FTE),Total Librarians (FTE),Other Paid Staff (FTE),Total Staff (FTE)
Fowler Public Library,FOWLER,OTERO,"5,070",974,499,0,"18,821","10,319","1,176",Yes,No,No,No,22.6,No Data,6,"$1,705 ","$9,038 ","$1,000 ","$39,668 ","$2,000 ","$27,448 ",0,$23.67 ,$7.22 ,$0.80 ,$31.68 ,$53.28 ,75%,23%,"1,252",CI,932,200,"1,132",0.8,10.01,90%,4.05,8.24,Not Collected,Not Collected,8.24,287.54,43,360,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,000 ",$0 ,"$51,706 ",$0 ,$0 ,$0 ,$0 ,"$66,706 ","$5,000 ",$0 ,$0 ,"$71,706 ",No Data,No Data,No,$12.32 ,No Data,No Data,No Data,0,0.7,0.3,1
Garfield County Public Library District,RIFLE,GARFIELD,"236,439","116,003","41,013",0,"488,717","349,692","12,168",Yes,No,No,No,39,"203,759",238,"$440,779 ","$883,563 ","$3,400,988 ","$7,973,393 ","$232,593 ","$3,039,011 ",0,$59.35 ,$14.22 ,$54.72 ,$128.29 ,$158.87 ,46%,11%,"62,150",LD,"59,335","5,175","64,510",1.08,2.22,104%,3.8,5.63,Not Collected,Not Collected,5.63,131.49,624,"8,172",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,869,874 ",$0 ,"$6,004,187 ",$0 ,"$9,874,061 ","$15,111 ",$0 ,"$497,122 ","$10,386,294 ","$57,886 ","$47,632 ",No,$24.00 ,$17.03 ,$16.57 ,$12.98 ,5,9.8,57.2,67
Gilpin County Library District,BLACK HAWK,GILPIN,"11,543",760,"2,315",0,"29,745","29,656","2,487",Yes,No,No,No,47.8,"9,893",7,"$13,101 ","$22,734 ","$123,430 ","$367,129 ",$0 ,"$154,862 ",0,$37.55 ,$3.86 ,$20.98 ,$62.39 ,$91.87 ,60%,6%,"5,884",LD,"1,870",985,"2,855",0.72,2.95,49%,1.96,5.04,Not Collected,Not Collected,5.04,214.31,91,"1,261",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$37,555 ",$0 ,"$106,343 ","$396,654 ","$540,552 ","$4,500 ",$0 ,$928 ,"$545,980 ",No Data,No Data,No,$22.71 ,$22.71 ,$15.72 ,$14.10 ,1,1,3.25,4.25
Grand County Library District,GRANBY,GRAND,"112,519","32,924","26,272",1,"204,886","148,774","8,049",No,No,No,No,31,"101,501",23,"$49,309 ","$117,896 ","$656,575 ","$1,854,482 ","$41,516 ","$851,409 ",0,$68.19 ,$7.44 ,$41.46 ,$117.09 ,$185.14 ,58%,6%,"15,838",LD,"12,512","2,602","15,114",1.17,3.51,95%,7.1,9.39,Not Collected,Not Collected,9.39,421.33,554,"6,673",$0 ,$0 ,$0 ,"$2,900 ","$2,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,932,288 ","$2,932,288 ","$59,562 ",$0 ,"$72,829 ","$3,064,679 ",No Data,No Data,No,$22.33 ,$17.64 ,$15.25 ,$13.03 ,2.85,9.35,9.25,18.6
Gunnison County Public Library,GUNNISON,GUNNISON,"83,625","27,349","16,325",1,"91,203","90,061","5,494",No,No,No,No,52.8,"11,761",14,"$47,469 ","$71,894 ","$289,084 ","$1,059,463 ","$275,095 ","$558,973 ",0,$40.38 ,$4.16 ,$16.71 ,$61.25 ,$81.40 ,66%,7%,"17,298",LD,"11,329","2,571","13,900",0.61,1.86,80%,4.83,5.21,Not Collected,Not Collected,5.21,201.76,513,"3,490",$0 ,"$408,270 ",$0 ,"$75,600 ","$483,870 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,408,091 ","$1,408,091 ","$18,814 ",$0 ,"$30,408 ","$1,457,313 ","$45,986 ","$36,183 ",No,$23.35 ,$16.00 ,$21.62 ,$15.00 ,1,1,9.5,10.5
Haxtun Public Library,HAXTUN,PHILLIPS,704,389,325,0,"1,734","1,734",960,No,No,No,No,18.5,"2,230",1,"$4,248 ","$4,248 ","$10,600 ","$31,884 ",$0 ,"$17,036 ",0,$17.38 ,$4.33 ,$10.82 ,$32.53 ,$29.77 ,53%,13%,980,CI,182,4,186,1.02,9.11,19%,0.72,1.77,Not Collected,Not Collected,1.77,81.63,12,80,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,883 ",$0 ,"$13,291 ",$0 ,$0 ,"$29,174 ","$3,500 ",$0 ,$0 ,"$32,674 ",No Data,No Data,No,No Data,No Data,No Data,No Data,No Data,1,0,1
High Plains Library District (Weld County),GREELEY,WELD,"675,200","40,750","19,145",2,"2,100,491","1,746,513","36,163",No,No,No,No,38.6,"393,734",496,"$812,773 ","$1,828,874 ","$5,202,747 ","$20,342,206 ","$5,874,791 ","$10,190,968 ",2,$40.72 ,$5.59 ,$15.92 ,$62.23 ,$139.48 ,65%,9%,"326,891",LD,"103,860","7,603","111,463",0.6,1.5,34%,2.07,5.34,Not Collected,Not Collected,5.34,255.82,"5,969","83,626","$895,531 ",$0 ,$0 ,$0 ,"$895,531 ","$1,292,520 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$44,301,611 ","$45,594,131 ","$79,784 ",$0 ,"$2,495,999 ","$48,169,914 ","$64,521 ","$47,687 ",Yes,$22.50 ,$16.63 ,$17.15 ,$12.68 ,43.1,56.49,140.17,196.66
Hinsdale Library District/Lake City,LAKE CITY,HINSDALE,"5,066",No Data,13,0,"26,797","26,797","1,040",No,No,No,No,20,"1,887",2,"$10,236 ","$17,036 ","$51,263 ","$126,833 ",$0 ,"$52,697 ",0,$75.33 ,$21.93 ,$65.98 ,$163.23 ,$118.50 ,46%,13%,777,LD,"1,323",No Data,"1,323",5.15,24.73,170%,6.52,34.49,Not Collected,Not Collected,34.49,200.77,12,156,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$92,077 ","$92,077 ","$3,500 ",$0 ,"$31,297 ","$126,874 ",$0 ,$0 ,No,$18.81 ,$12.48 ,$12.24 ,$10.00 ,0,1,3,4
Holly Public Library,HOLLY,PROWERS,"2,002",0,65,0,"1,378","1,378","1,040",No,No,No,No,20,0,3,"$3,488 ","$3,547 ",$862 ,"$17,765 ",$0 ,"$12,406 ",0,$15.94 ,$4.23 ,$1.03 ,$21.20 ,$7.38 ,75%,20%,838,CI,470,0,470,0.6,7.48,56%,2.39,1.64,Not Collected,Not Collected,1.64,292.36,50,245,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$4,187 ",$0 ,"$6,187 ","$3,500 ",$0 ,"$9,000 ","$18,687 ",$0 ,$0 ,No,$12.32 ,$12.32 ,$12.32 ,$12.32 ,0,0.25,0.25,0.5
Holyoke/Heginbotham Library,HOLYOKE,PHILLIPS,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,"2,346",CI,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,Not Collected,Not Collected,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Hugo Public Library,HUGO,LINCOLN,"2,125",354,117,0,"3,387","3,384",980,Yes,No,No,No,18.9,"2,219",3,"$5,135 ","$6,200 ","$4,062 ","$23,538 ",$0 ,"$12,501 ",0,$16.93 ,$7.91 ,$5.18 ,$30.02 ,$22.32 ,56%,26%,784,CI,133,21,154,0.64,10.01,20%,2.71,4.32,Not Collected,Not Collected,4.32,159.44,8,125,$0 ,$0 ,$0 ,$0 ,$0 ,"$17,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$17,500 ","$4,500 ",$0 ,"$1,100 ","$23,100 ",No Data,No Data,No,No Data,No Data,No Data,No Data,0,0.5,0,0.5
Ignacio Community Library District,IGNACIO,LA PLATA,"42,589",22,19,0,"24,297","24,297","3,152",No,No,No,No,60.6,"20,663",13,"$13,950 ","$22,403 ","$99,820 ","$408,051 ",$0 ,"$240,568 ",0,$45.49 ,$3.57 ,$15.88 ,$64.93 ,$51.66 ,70%,5%,"6,284",LD,"5,285","3,086","8,371",1.19,3.25,133%,6.78,3.87,Not Collected,Not Collected,3.87,576.38,325,"3,622",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$30,791 ",$0 ,$0 ,"$293,846 ","$324,637 ","$4,500 ",$0 ,"$79,542 ","$408,679 ",No Data,No Data,No,$19.00 ,$14.50 ,$14.50 ,$14.00 ,1,1,6.5,7.5
Jackson County Public Library,WALDEN,JACKSON,"3,907",362,155,0,"5,023","5,023","1,805",No,No,No,No,34.7,0,4,"$4,792 ","$5,867 ","$18,330 ","$117,638 ","$36,225 ","$70,160 ",0,$68.86 ,$4.32 ,$13.51 ,$86.69 ,$111.84 ,79%,5%,"1,357",CO,"1,759",201,"1,960",1.61,13.92,144%,2.88,3.7,Not Collected,Not Collected,3.7,285.19,17,387,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$151,768 ",$0 ,"$151,768 ","$5,000 ","$5,500 ",$0 ,"$162,268 ",$0 ,$0 ,No,$14.94 ,$13.39 ,$0.00 ,$0.00 ,0,2.18,0,2.18
Jefferson County Public Library,LAKEWOOD,JEFFERSON,"1,242,213","4,725","3,950",1,"9,843,592","8,604,530","25,043",Yes,No,No,No,43.8,"2,719,499",372,"$1,931,306 ","$7,271,650 ","$8,274,714 ","$35,564,584 ","$2,148,743 ","$15,213,963 ",1,$34.53 ,$12.54 ,$14.28 ,$61.36 ,$77.35 ,56%,20%,"579,652",CO,"262,122","39,167","301,289",0.54,1.36,52%,2.14,14.84,Not Collected,Not Collected,14.84,71.29,"2,417","41,325","$2,193,145 ","$28,279 ",$0 ,$0 ,"$2,221,424 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$44,835,152 ",$0 ,"$44,835,152 ","$226,169 ","$283,030 ","$115,904 ","$45,460,255 ","$76,101 ","$31,002 ",Yes,$27.12 ,$16.75 ,$17.60 ,$12.56 ,76.5,76.5,233.7,310.2
John C. Fremont Library District (Florence),FLORENCE,FREMONT,"14,092","2,800","2,900",0,"26,829","26,714","2,014",Yes,No,No,No,38.7,"8,743",9,"$8,145 ","$18,246 ","$66,140 ","$253,367 ","$1,895 ","$138,467 ",0,$20.24 ,$2.19 ,$7.92 ,$30.35 ,$28.56 ,67%,7%,"8,349",LD,"4,267","1,670","5,937",0.58,1.63,71%,1.69,3.2,Not Collected,Not Collected,3.2,76.18,13,636,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$238,444 ","$238,444 ","$4,670 ","$6,865 ","$11,111 ","$261,090 ","$10,130 ",No Data,No,$12.56 ,$12.56 ,$12.56 ,$12.56 ,0,4.65,0.21,4.86
Julesburg Public Library,JULESBURG,SEDGWICK,"4,180",355,201,0,"5,717","5,717","1,950",No,No,No,No,37.5,964,3,"$5,674 ","$7,568 ",$0 ,"$64,907 ",$0 ,"$34,100 ",0,$47.04 ,$6.21 ,$0.00 ,$53.25 ,$73.12 ,88%,12%,"1,219",CI,451,136,587,0.82,4.9,48%,3.43,4.69,Not Collected,Not Collected,4.69,167.35,41,204,$0 ,$0 ,$0 ,$0 ,$0 ,"$89,139 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$89,139 ","$5,000 ","$5,500 ",$0 ,"$99,639 ",No Data,No Data,No,No Data,No Data,No Data,No Data,0,1,0,1
Kiowa County Public Library District,EADS,KIOWA,"3,179",851,701,0,"6,622","6,592","1,425",Yes,Yes,Yes,Yes,27.4,"2,651",4,"$5,344 ","$5,901 ","$29,377 ","$95,449 ","$4,265 ","$50,036 ",0,$41.44 ,$4.06 ,$20.23 ,$65.74 ,$39.35 ,63%,6%,"1,452",LD,478,18,496,0.96,5.1,34%,2.19,4.54,Not Collected,Not Collected,4.54,155.65,5,226,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$57,135 ","$57,135 ","$4,000 ","$22,318 ","$16,364 ","$99,817 ",No Data,No Data,No,No Data,No Data,No Data,No Data,0,1.4,0,1.4
La Junta/Woodruff Memorial Library,LA JUNTA,OTERO,"36,128",112,"1,147",0,"73,739","68,196","2,798",No,No,No,No,53.8,"5,951",8,"$29,931 ","$54,112 ","$76,432 ","$488,000 ",$0 ,"$258,744 ",0,$48.89 ,$7.40 ,$10.45 ,$66.74 ,$66.74 ,73%,11%,"7,312",CI,"2,499","1,748","4,247",1.5,5.33,58%,4.94,9.33,Not Collected,Not Collected,9.33,445.3,126,"3,256",$0 ,$0 ,$0 ,$0 ,$0 ,"$488,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$488,000 ","$4,500 ",$0 ,"$8,060 ","$500,560 ",No Data,No Data,No,$12.93 ,$12.74 ,$12.11 ,$12.12 ,0,1,10,11
La Veta Public Library District,LA VETA,HUERFANO,"27,154",881,"2,505",0,"29,456","26,642","2,832",No,No,No,No,27.2,"8,316",25,"$13,104 ","$23,747 ","$78,679 ","$246,357 ",$0 ,"$130,284 ",0,$102.51 ,$16.91 ,$56.04 ,$175.47 ,$147.57 ,58%,10%,"1,404",LD,"1,892","1,663","3,555",3.69,6.44,253%,19.34,18.98,Not Collected,Not Collected,18.98,"1,560.54",138,"2,191",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$207,188 ","$207,188 ","$5,000 ","$15,972 ","$23,236 ","$251,396 ","$33,530 ","$20,118 ",No,$16.12 ,$15.06 ,$15.06 ,$12.56 ,0.65,5.18,0,5.18
Lafayette Public Library,LAFAYETTE,BOULDER,"77,319","39,300","38,661",0,"272,060","272,060","2,500",Yes,No,No,No,48.1,"111,629",22,"$107,132 ","$131,332 ","$248,838 ","$1,537,114 ",$0 ,"$950,930 ",0,$38.09 ,$4.32 ,$8.19 ,$50.60 ,$49.24 ,75%,9%,"30,377",CI,"23,262","12,949","36,211",0.58,2.4,119%,2.55,8.96,Not Collected,Not Collected,8.96,365.44,549,"11,101",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,495,879 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,495,879 ","$8,537 ",$0 ,$0 ,"$1,504,416 ","$54,018 ","$26,270 ",No,$18.93 ,$17.25 ,$18.44 ,$15.65 ,4.9,7.5,10.23,17.73
Lake County Public Library,LEADVILLE,LAKE,"26,993","2,620","8,503",0,"30,407","30,407","1,924",No,No,No,No,37,"23,775",7,"$24,597 ","$37,484 ","$117,864 ","$488,561 ",$0 ,"$263,124 ",0,$45.11 ,$5.07 ,$15.96 ,$66.14 ,$73.61 ,68%,8%,"7,387",CO,"5,150",196,"5,346",0.81,3.41,72%,3.65,4.12,Not Collected,Not Collected,4.12,156.9,56,"1,159",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$543,756 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$543,756 ","$4,500 ","$6,000 ","$5,822 ","$560,078 ","$38,000 ","$34,000 ",No,$12.50 ,$12.40 ,$0.00 ,$0.00 ,1,1,5,6
Lamar Public Library,LAMAR,PROWERS,"48,411","4,011",987,0,"147,581","39,010","2,612",Yes,No,No,No,50.2,"12,880",34,"$21,469 ","$42,149 ","$37,301 ","$326,642 ","$24,613 ","$203,056 ",0,$20.64 ,$3.52 ,$3.11 ,$27.27 ,$27.68 ,76%,13%,"11,978",CI,"4,801",606,"5,407",0.49,3.68,45%,4.04,3.26,Not Collected,Not Collected,3.26,349.56,150,"4,187",$0 ,$0 ,$0 ,$0 ,$0 ,"$331,513 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$331,513 ","$4,943 ",$0 ,"$10,546 ","$347,002 ",No Data,No Data,No,$15.05 ,$13.85 ,$13.20 ,$12.32 ,1,5,0.9,5.9
Las Animas-Bent County Library District,LAS ANIMAS,BENT,"10,111","1,456",800,0,"8,431","8,431","2,600",No,No,No,Yes,50,"13,411",18,"$17,500 ","$20,500 ","$49,525 ","$148,218 ",$0 ,"$72,150 ",0,$15.96 ,$4.18 ,$10.11 ,$30.25 ,$22.91 ,53%,14%,"4,899",LD,"2,300",130,"2,430",0.61,2.69,50%,2.06,1.72,Not Collected,Not Collected,1.72,142.89,188,700,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,320 ",$0 ,"$102,928 ",$0 ,"$112,248 ",$0 ,$0 ,"$8,500 ","$120,748 ","$21,100 ","$20,000 ",No,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,1,2,3
Limon Memorial Library,LIMON,LINCOLN,"11,144","3,724","1,660",0,"29,453","29,453","2,396",Yes,No,No,No,46.1,"4,219",14,"$15,101 ","$15,401 ","$1,200 ","$80,484 ",$0 ,"$47,906 ",0,$31.45 ,$7.58 ,$0.59 ,$39.63 ,$60.59 ,79%,19%,"2,031",CI,"1,414",481,"1,895",0.65,10.33,93%,5.49,14.5,Not Collected,Not Collected,14.5,242.25,70,492,$0 ,$0 ,$0 ,$0 ,$0 ,"$123,058 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$123,058 ","$4,000 ",$0 ,$0 ,"$127,058 ",$0 ,$0 ,No,$12.75 ,$12.50 ,$12.50 ,$12.35 ,0,1,0.33,1.33
Lincoln County Bookmobile,LIMON,LINCOLN,"2,516",251,135,0,"8,401","8,401",561,Yes,No,No,No,10.8,"2,219",0,"$11,000 ","$12,285 ","$11,807 ","$48,623 ",$0 ,"$22,725 ",1,$4.33 ,$2.17 ,$2.08 ,$8.58 ,$8.25 ,50%,25%,"5,666",CO,396,24,420,0.13,1.8,7%,0.44,1.48,Not Collected,Not Collected,1.48,62.12,16,352,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$46,762 ",$0 ,"$46,762 ","$4,500 ",$0 ,$0 ,"$51,262 ",$0 ,$0 ,No,$14.74 ,$14.24 ,$0.00 ,$0.00 ,0,0.42,0.31,0.73
Littleton/Bemis Public Library,LITTLETON,ARAPAHOE,"126,921","51,446","19,107",1,"643,860","433,812",55,Yes,Yes,Yes,Yes,1.1,"162,916",47,"$146,196 ","$258,271 ","$330,693 ","$2,648,593 ",$0 ,"$1,543,505 ",0,$45.23 ,$5.67 ,$7.26 ,$58.17 ,$62.48 ,78%,10%,"45,533",CI,"30,882","18,137","49,019",0.64,3.68,108%,2.79,9.53,Not Collected,Not Collected,9.53,243.69,"1,081","11,096",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,844,840 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,844,840 ","$12,580 ",$0 ,"$38,339 ","$2,895,759 ","$65,520 ","$58,178 ",Yes,$26.68 ,$18.49 ,$18.63 ,$16.06 ,5.85,11.24,17.9,29.14
Lone Cone Library District (Norwood),NORWOOD,SAN MIGUEL,"24,674",934,282,0,"11,574","11,239","2,019",Yes,No,No,No,38.8,"12,244",14,"$6,170 ","$12,462 ","$293,081 ","$551,466 ",$0 ,"$207,231 ",0,$111.53 ,$5.65 ,$132.92 ,$250.10 ,$191.73 ,45%,2%,"2,205",LD,941,332,"1,273",2.49,5.01,58%,11.19,5.1,Not Collected,Not Collected,5.1,"1,231.75",204,"2,716",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$422,763 ","$422,763 ","$4,000 ","$9,600 ","$78,084 ","$514,447 ",$0 ,$0 ,No,No Data,No Data,$16.00 ,$13.00 ,1,1,4.5,5.5
Longmont Public Library,LONGMONT,BOULDER,"141,085","97,895","148,103",0,"1,254,017","1,114,017","3,194",Yes,Yes,Yes,Yes,61.4,"706,911",27,"$211,190 ","$367,869 ","$286,670 ","$3,433,501 ",$0 ,"$2,164,933 ",0,$28.03 ,$3.71 ,$2.89 ,$34.64 ,$39.41 ,81%,11%,"99,129",CI,"83,187","9,798","92,985",0.46,2.63,94%,1.42,11.24,Not Collected,Not Collected,11.24,167.89,731,"16,643",$0 ,$0 ,"$32,766 ",$0 ,"$32,766 ","$3,907,067 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,907,067 ","$22,890 ","$32,766 ","$35,618 ","$3,998,341 ","$63,578 ","$61,726 ",Yes,$27.80 ,$23.62 ,$17.62 ,$12.32 ,9.25,11,35,46
Louisville Public Library,LOUISVILLE,BOULDER,"85,592",0,0,0,"606,453","494,916","2,344",Yes,No,No,Yes,45.1,"96,327",26,"$85,007 ","$148,869 ","$160,840 ","$1,573,883 ",$0 ,"$1,026,855 ",0,$36.89 ,$4.34 ,$4.69 ,$45.93 ,$44.77 ,80%,9%,"34,270",CI,"15,978","8,195","24,173",0.49,2.05,71%,2.5,14.44,Not Collected,Not Collected,14.44,188.82,240,"6,471",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,534,370 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,534,370 ","$9,677 ",$0 ,$0 ,"$1,544,047 ","$64,766 ","$48,974 ",Yes,$26.62 ,$19.35 ,$18.62 ,$14.14 ,8,8,8.75,16.75
Loveland Public Library,LOVELAND,LARIMER,"183,690",0,0,0,"902,876","851,875","2,654",Yes,No,No,No,51,"313,996",71,"$169,642 ","$266,898 ","$414,890 ","$3,178,921 ","$11,197 ","$1,889,635 ",0,$32.71 ,$3.50 ,$5.43 ,$41.64 ,$42.77 ,79%,8%,"76,341",CI,"59,780","17,578","77,358",0.49,1.3,101%,2.41,11.16,Not Collected,Not Collected,11.16,126.28,678,"9,640",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,264,943 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,264,943 ","$26,452 ","$109,871 ","$40,974 ","$3,442,240 ","$61,368 ","$50,232 ",No,$20.93 ,$16.93 ,$13.32 ,$13.07 ,10.75,24.33,13.03,37.36
Lyons Regional Library District,LYONS,BOULDER,"15,277","3,051","6,357",0,"47,655","47,213","1,830",Yes,No,No,No,35.2,"13,962",8,"$14,809 ","$31,302 ","$200,966 ","$453,166 ","$118,029 ","$198,832 ",0,$51.31 ,$7.27 ,$46.68 ,$105.27 ,$121.64 ,49%,7%,"4,305",LD,"2,992",214,"3,206",1.16,3.36,74%,3.55,10.97,Not Collected,Not Collected,10.97,414.63,141,"1,785",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$523,673 ","$523,673 ","$4,000 ",$0 ,"$35,625 ","$563,298 ","$24,940 ","$13,717 ",No,$20.50 ,$19.50 ,$16.00 ,No Data,3,3,2,5
Mancos Library District,MANCOS,MONTEZUMA,"14,950","3,007","2,203",1,"19,871","18,234","2,184",No,No,No,No,42,"6,900",9,"$15,142 ","$19,027 ","$87,201 ","$383,501 ","$104,319 ","$232,635 ",0,$74.58 ,$5.12 ,$23.45 ,$103.15 ,$109.38 ,72%,5%,"3,718",LD,"2,278",246,"2,524",1.39,6.76,68%,4.02,4.9,Not Collected,Not Collected,4.9,792.36,248,"2,946",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$406,670 ","$406,670 ","$10,000 ",$0 ,"$88,507 ","$505,177 ","$23,530 ","$17,472 ",No,$13.92 ,$13.19 ,$12.50 ,$12.50 ,0,3.91,1.25,5.16
Meeker Regional Library District,MEEKER,RIO BLANCO,"15,801",No Data,20,No Data,"17,308","17,308",No Data,No,No,No,No,No Data,No Data,15,"$35,509 ","$42,509 ","$129,242 ","$358,124 ","$60,961 ","$143,100 ",0,$50.43 ,$11.50 ,$34.97 ,$96.90 ,$144.93 ,52%,12%,"3,696",LD,"1,378",166,"1,544",0.81,17.43,42%,4.28,4.68,Not Collected,Not Collected,4.68,94.7,80,350,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$535,671 ","$535,671 ",$0 ,$0 ,$0 ,"$535,671 ",No Data,No Data,No Data,No Data,No Data,No Data,No Data,1,1,2,3
Mesa County Public Library District,GRAND JUNCTION,MESA,"659,226","47,261","133,860",0,"1,379,985","1,239,474","14,885",Yes,No,No,No,35.8,"496,296",164,"$365,540 ","$760,232 ","$1,509,497 ","$6,592,438 ","$382,712 ","$3,401,207 ",0,$27.48 ,$4.83 ,$9.59 ,$41.90 ,$47.12 ,66%,12%,"157,323",LD,"72,867","1,079","73,946",0.48,1.1,47%,4.19,7.88,Not Collected,Not Collected,7.88,87.4,938,"13,750",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,412,558 ","$7,412,558 ","$81,096 ","$313,943 ","$186,015 ","$7,993,612 ","$56,342 ","$38,355 ",Yes,$20.85 ,$15.00 ,$13.64 ,$13.50 ,13,13,63,76
